"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/1985","115.48","115.48","116.12","106.77","","4.39%"
"11/01/1985","126.06","126.06","126.44","115.48","","9.16%"
"12/01/1985","132.29","132.29","133.12","124.72","","4.94%"
"01/01/1986","132.93","132.93","134.13","128.06","","0.48%"
"02/01/1986","140.43","140.43","141.83","132.93","","5.64%"
"03/01/1986","148.86","148.86","149.21","139.56","","6.00%"
"04/01/1986","154.91","154.91","160.94","144.83","","4.06%"
"05/01/1986","163.16","163.16","163.62","153.72","","5.33%"
"06/01/1986","162.62","162.62","163.98","156.87","","-0.33%"
"07/01/1986","144.71","144.71","164.56","142.73","","-11.01%"
"08/01/1986","151.70","151.70","152.56","140.18","","4.83%"
"09/01/1986","137.50","137.50","152.07","133.28","","-9.36%"
"10/01/1986","144.48","144.48","145.18","137.41","","5.08%"
"11/01/1986","147.94","147.94","147.96","138.96","","2.39%"
"12/01/1986","141.41","141.41","150.85","140.94","","-4.41%"
"01/01/1987","166.68","166.68","170.28","141.41","","17.87%"
"02/01/1987","182.75","182.75","184.73","166.58","","9.64%"
"03/01/1987","186.04","186.04","191.75","179.87","","1.80%"
"04/01/1987","184.83","184.83","192.46","177.51","","-0.65%"
"05/01/1987","188.77","188.77","191.70","179.74","","2.13%"
"06/01/1987","189.24","189.24","193.36","184.44","","0.25%"
"07/01/1987","196.35","196.35","197.31","186.56","","3.76%"
"08/01/1987","209.57","209.57","212.16","194.09","","6.73%"
"09/01/1987","205.50","205.50","210.78","196.13","","-1.94%"
"10/01/1987","150.07","150.07","214.03","126.25","","-26.97%"
"11/01/1987","137.12","137.12","154.12","133.14","","-8.63%"
"12/01/1987","156.25","156.25","158.42","129.47","","13.95%"
"01/01/1988","159.13","159.13","169.14","151.57","","1.84%"
"02/01/1988","172.64","172.64","174.05","156.09","","8.49%"
"03/01/1988","173.26","173.26","182.74","170.53","","0.36%"
"04/01/1988","175.92","175.92","180.91","170.14","","1.54%"
"05/01/1988","173.34","173.34","180.10","166.76","","-1.47%"
"06/01/1988","189.03","189.03","189.34","173.49","","9.05%"
"07/01/1988","181.16","181.16","192.77","176.38","","-4.16%"
"08/01/1988","171.00","171.00","182.19","168.85","","-5.61%"
"09/01/1988","179.37","179.37","180.31","167.17","","4.89%"
"10/01/1988","174.78","174.78","180.53","172.81","","-2.56%"
"11/01/1988","169.19","169.19","175.62","162.66","","-3.20%"
"12/01/1988","177.41","177.41","177.86","168.74","","4.86%"
"01/01/1989","186.47","186.47","186.69","172.94","","5.11%"
"02/01/1989","183.79","183.79","193.00","183.23","","-1.44%"
"03/01/1989","185.87","185.87","187.69","178.97","","1.13%"
"04/01/1989","200.47","200.47","200.50","184.45","","7.85%"
"05/01/1989","214.54","214.54","215.19","199.15","","7.02%"
"06/01/1989","204.59","204.59","220.81","201.99","","-4.64%"
"07/01/1989","214.28","214.28","214.34","203.61","","4.74%"
"08/01/1989","222.00","222.00","222.15","211.63","","3.60%"
"09/01/1989","226.41","226.41","227.63","219.79","","1.99%"
"10/01/1989","222.62","222.62","238.84","213.60","","-1.67%"
"11/01/1989","224.44","224.44","225.76","214.66","","0.82%"
"12/01/1989","223.84","223.84","227.85","208.69","","-0.27%"
"01/01/1990","201.94","201.94","228.94","196.69","","-9.78%"
"02/01/1990","207.91","207.91","210.44","200.41","","2.96%"
"03/01/1990","213.15","213.15","220.13","206.53","","2.52%"
"04/01/1990","205.81","205.81","218.25","202.97","","-3.44%"
"05/01/1990","236.15","236.15","237.93","205.81","","14.74%"
"06/01/1990","238.46","238.46","242.84","231.76","","0.98%"
"07/01/1990","223.38","223.38","246.81","221.36","","-6.32%"
"08/01/1990","193.62","193.62","224.62","177.06","","-13.32%"
"09/01/1990","177.06","177.06","195.88","169.32","","-8.55%"
"10/01/1990","172.56","172.56","189.06","162.55","","-2.54%"
"11/01/1990","192.66","192.66","193.06","170.88","","11.65%"
"12/01/1990","200.53","200.53","203.49","192.66","","4.08%"
"01/01/1991","232.43","232.43","232.68","190.90","","15.91%"
"02/01/1991","250.12","250.12","252.85","231.28","","7.61%"
"03/01/1991","264.90","264.90","267.93","247.79","","5.91%"
"04/01/1991","263.65","263.65","286.05","259.35","","-0.47%"
"05/01/1991","279.00","279.00","279.00","256.55","","5.82%"
"06/01/1991","254.19","254.19","281.42","249.78","","-8.89%"
"07/01/1991","272.15","272.15","272.35","250.00","","7.07%"
"08/01/1991","287.40","278.15","290.92","263.55","","5.60%"
"09/01/1991","287.54","287.40","290.44","276.32","","0.05%"
"10/01/1991","292.50","287.54","297.76","276.51","","1.72%"
"11/01/1991","284.79","292.50","304.55","277.90","","-2.64%"
"12/01/1991","330.86","284.79","332.58","281.10","","16.18%"
"01/01/1992","338.31","330.86","357.70","322.56","","2.25%"
"02/01/1992","345.88","338.31","356.28","332.98","","2.24%"
"03/01/1992","323.05","345.88","348.39","320.15","","-6.60%"
"04/01/1992","307.86","323.05","326.79","291.36","","-4.70%"
"05/01/1992","315.30","307.86","317.26","300.54","","2.42%"
"06/01/1992","301.23","315.30","319.23","288.01","","-4.46%"
"07/01/1992","310.89","301.23","311.75","292.80","","3.21%"
"08/01/1992","299.26","310.89","313.49","287.63","","-3.74%"
"09/01/1992","313.19","299.26","324.69","298.11","","4.65%"
"10/01/1992","329.15","313.19","332.46","291.96","","5.10%"
"11/01/1992","350.96","329.15","351.29","324.98","","6.63%"
"12/01/1992","360.19","350.96","363.20","344.80","","2.63%"
"01/01/1993","370.56","360.19","384.68","355.36","","2.88%"
"02/01/1993","351.14","370.56","379.26","337.14","","-5.24%"
"03/01/1993","359.42","351.14","366.54","345.43","","2.36%"
